,formula,  lambda,  w_log [K],   mu,Tc,P,prm0,prm1,prm2,prm3
67,PtH,        ,           ,0.1,24.0,77.0,78.0,1.0,1.0,1.0
68,PtH,    0.85,           ,0.06,23.0,85.0,78.0,1.0,1.0,1.0
69,PtH,    0.85,           ,0.1,19.0,85.0,78.0,1.0,1.0,1.0
70,PtH,        ,           ,0.06,16.0,105.0,78.0,1.0,1.0,1.0
71,PtH,        ,           ,0.1,12.0,105.0,78.0,1.0,1.0,1.0
72,RhH,        ,           ,0.1,2.1,4.8,45.0,1.0,1.0,1.0
73,PdH,        ,           ,0.1,20.0,6.6,46.0,1.0,1.0,1.0
74,IrH,        ,           ,0.1,7.0,80.0,77.0,1.0,1.0,1.0
75,AuH,        ,           ,0.1,21.0,220.0,79.0,1.0,1.0,1.0
76,LiH6, 0.6387 ,   1911.9  ,0.13,38.34,150.0,3.0,1.0,1.0,6.0
77,LiH6, 0.6488 ,   1952.2  ,0.13,41.17,200.0,3.0,1.0,1.0,6.0
78,LiH6, 0.7171 ,   1915.8  ,0.13,54.87,250.0,3.0,1.0,1.0,6.0
79,LiH6, 0.8592 ,   1837.2  ,0.13,81.8,300.0,3.0,1.0,1.0,6.0
80,LiH8, 0.6353 ,   1576.8  ,0.13,31.04,100.0,3.0,1.0,1.0,8.0
81,LiH8, 0.6397 ,   1709.4  ,0.13,34.57,150.0,3.0,1.0,1.0,8.0
82,LiH8, 0.6458 ,   1756.2  ,0.13,36.52,200.0,3.0,1.0,1.0,8.0
83,ArH4, 0.9131 ,   1434.92 ,0.13,72.4089,1500.0,18.0,1.0,1.0,4.0
84,ArH4, 0.9068 ,   1425.69 ,0.13,70.9599,1600.0,18.0,1.0,1.0,4.0
85,ArH4, 0.8127 ,   1402.75 ,0.13,55.1061,1700.0,18.0,1.0,1.0,4.0
86,ArH4, 0.7947 ,   1400.56 ,0.13,52.182,1800.0,18.0,1.0,1.0,4.0
87,ArH4, 0.7929 ,   1403.13 ,0.13,52.005,1900.0,18.0,1.0,1.0,4.0
88,ArH4, 0.7959 ,   1395.04 ,0.13,52.1661,2000.0,18.0,1.0,1.0,4.0
89,ArH2, 0.8817 ,   1421.73 ,0.13,66.8281,1500.0,18.0,1.0,1.0,2.0
90,ArH2, 0.8926 ,   1320.38 ,0.13,63.6579,1600.0,18.0,1.0,1.0,2.0
91,ArH2, 0.8824 ,   1257.99 ,0.13,59.2291,1700.0,18.0,1.0,1.0,2.0
92,ArH2, 0.8556 ,   1372.59 ,0.13,60.5324,1800.0,18.0,1.0,1.0,2.0
93,ArH2, 0.8367 ,   1267.83 ,0.13,53.2339,1900.0,18.0,1.0,1.0,2.0
94,ArH2, 0.8041 ,   1328.32 ,0.13,50.9011,2000.0,18.0,1.0,1.0,2.0
95,ArH2, 0.3192 ,   1253.14 ,0.13,0.2369,1400.0,18.0,1.0,1.0,2.0
96,ArH, 0.2917 ,    380.35 ,0.13,0.019,1000.0,18.0,1.0,1.0,1.0
97,ArH, 0.4357 ,    530.91 ,0.13,1.7753,1200.0,18.0,1.0,1.0,1.0
