formula,P,Tc,AD
YH9,300,267,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LuH10,250,267,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH9,150,267,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH9,100,267,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH8,300,267,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH8,250,267,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH8,200,267,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH8,150,267,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH8,100,267,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH9,250,267,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH9,200,267,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LuH10,300,267,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH6,250,264,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH6,200,264,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH7,100,264,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH7,150,264,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH7,200,264,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH7,250,264,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH7,300,264,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH6,150,264,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH6,100,264,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH5,300,264,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH5,250,264,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH5,200,264,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH5,150,264,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH5,100,264,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH6,300,264,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LuH7,200,264,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LuH7,300,264,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LuH7,100,264,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LuH8,150,264,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LuH8,100,264,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LuH7,250,264,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LuH7,150,264,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
SrH10,200,244,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
SrH10,250,244,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH10,100,244,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
SrH10,100,244,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
SrH10,150,244,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH10,150,244,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH10,200,244,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH10,250,244,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
PrH10,200,238,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LaH10,150,238,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LaH10,200,238,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
PrH10,100,238,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
PrH10,150,238,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
EuH9,200,238,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
EuH10,100,238,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
PmH10,150,238,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
PmH10,200,238,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
GdH10,200,238,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
EuH10,200,238,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
EuH10,150,238,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
NdH10,200,238,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LaH10,100,238,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
