50.9011, 18.0, 1.0, 1.0, 2.0, 2000.0
0.2369, 18.0, 1.0, 1.0, 2.0, 1400.0
0.019, 18.0, 1.0, 1.0, 1.0, 1000.0
1.7753, 18.0, 1.0, 1.0, 1.0, 1200.0
5.9378, 18.0, 1.0, 1.0, 1.0, 1400.0
0.192, 72.0, 1.0, 1.0, 2.0, 0.0001
0.047, 72.0, 1.0, 1.0, 2.0, 0.0001
0.081, 72.0, 1.0, 1.0, 2.0, 10.0
0.012, 72.0, 1.0, 1.0, 2.0, 10.0
0.021, 72.0, 1.0, 1.0, 2.0, 30.0
0.001, 72.0, 1.0, 1.0, 2.0, 30.0
0.008, 72.0, 1.0, 1.0, 2.0, 50.0
8.159, 72.0, 1.0, 1.0, 2.0, 180.0
5.988, 72.0, 1.0, 1.0, 2.0, 180.0
6.207, 72.0, 1.0, 1.0, 2.0, 240.0
4.322, 72.0, 1.0, 1.0, 2.0, 240.0
12.804, 72.0, 1.0, 1.0, 2.0, 260.0
10.62, 72.0, 1.0, 1.0, 2.0, 260.0
7.962, 72.0, 1.0, 1.0, 2.0, 280.0
9.911, 72.0, 1.0, 1.0, 2.0, 280.0
9.0, 15.0, 1.0, 1.0, 3.0, 100.0
83.0, 15.0, 1.0, 1.0, 3.0, 200.0
49.0, 15.0, 1.0, 1.0, 2.0, 100.0
32.1, 15.0, 1.0, 1.0, 2.0, 100.0
55.5, 15.0, 1.0, 1.0, 2.0, 150.0
35.2, 15.0, 1.0, 1.0, 2.0, 150.0
75.6, 15.0, 1.0, 1.0, 2.0, 200.0
49.2, 15.0, 1.0, 1.0, 2.0, 200.0
50.6, 15.0, 1.0, 1.0, 2.0, 150.0
28.3, 15.0, 1.0, 1.0, 2.0, 150.0
70.4, 15.0, 1.0, 1.0, 2.0, 200.0
48.0, 15.0, 1.0, 1.0, 2.0, 200.0
5.0, 34.0, 1.0, 2.0, 1.0, 300.0
23.0, 34.0, 1.0, 1.0, 1.0, 300.0
39.0, 34.0, 1.0, 1.0, 1.0, 250.0
42.0, 34.0, 1.0, 1.0, 1.0, 300.0
116.0, 34.0, 1.0, 1.0, 3.0, 200.0
111.0, 34.0, 1.0, 1.0, 3.0, 250.0
110.0, 34.0, 1.0, 1.0, 3.0, 300.0
103.0, 82.0, 1.0, 1.0, 8.0, 200.0
20.0, 17.0, 1.0, 1.0, 1.0, 250.0
13.0, 17.0, 1.0, 1.0, 1.0, 250.0
0.12, 35.0, 1.0, 1.0, 1.0, 120.0
0.0097, 35.0, 1.0, 1.0, 1.0, 120.0
146.0, 13.0, 1.0, 1.0, 5.0, 250.0
132.0, 13.0, 1.0, 1.0, 5.0, 250.0
30.8, 5.0, 1.0, 1.0, 1.0, 100.0
39.2, 5.0, 1.0, 1.0, 1.0, 100.0
23.7, 5.0, 1.0, 1.0, 1.0, 125.0
32.0, 5.0, 1.0, 1.0, 1.0, 125.0
18.7, 5.0, 1.0, 1.0, 1.0, 150.0
26.9, 5.0, 1.0, 1.0, 1.0, 150.0
14.1, 5.0, 1.0, 1.0, 1.0, 175.0
21.4, 5.0, 1.0, 1.0, 1.0, 175.0
11.7, 5.0, 1.0, 1.0, 1.0, 200.0
18.8, 5.0, 1.0, 1.0, 1.0, 200.0
0.14, 84.0, 1.0, 1.0, 1.0, 300.0
0.65, 84.0, 1.0, 1.0, 1.0, 300.0
0.0001, 84.0, 1.0, 1.0, 2.0, 200.0
0.0001, 84.0, 1.0, 1.0, 2.0, 200.0
41.1, 84.0, 1.0, 1.0, 4.0, 200.0
47.2, 84.0, 1.0, 1.0, 4.0, 200.0
2.25, 84.0, 1.0, 1.0, 6.0, 200.0
4.68, 84.0, 1.0, 1.0, 6.0, 200.0
15.0, 50.0, 1.0, 1.0, 4.0, 120.0
22.0, 50.0, 1.0, 1.0, 4.0, 120.0
52.0, 50.0, 1.0, 1.0, 4.0, 200.0
62.0, 50.0, 1.0, 1.0, 4.0, 200.0
91.0, 50.0, 1.0, 1.0, 4.0, 220.0
80.0, 50.0, 1.0, 1.0, 4.0, 220.0
81.0, 50.0, 1.0, 1.0, 8.0, 220.0
