,formula,Tc,P,prm0,prm1,prm2,prm3
101,HfH2,0.081,10.0,72.0,1.0,1.0,2.0
102,HfH2,0.012,10.0,72.0,1.0,1.0,2.0
103,HfH2,0.021,30.0,72.0,1.0,1.0,2.0
104,HfH2,0.001,30.0,72.0,1.0,1.0,2.0
105,HfH2,0.008,50.0,72.0,1.0,1.0,2.0
106,HfH2,8.158999999999999,180.0,72.0,1.0,1.0,2.0
107,HfH2,5.9879999999999995,180.0,72.0,1.0,1.0,2.0
108,HfH2,6.207000000000001,240.0,72.0,1.0,1.0,2.0
109,HfH2,4.322,240.0,72.0,1.0,1.0,2.0
110,HfH2,12.804,260.0,72.0,1.0,1.0,2.0
111,HfH2,10.62,260.0,72.0,1.0,1.0,2.0
112,HfH2,7.962000000000001,280.0,72.0,1.0,1.0,2.0
113,HfH2,9.911,280.0,72.0,1.0,1.0,2.0
114,PH3,9.0,100.0,15.0,1.0,1.0,3.0
115,PH3,83.0,200.0,15.0,1.0,1.0,3.0
116,PH2,49.0,100.0,15.0,1.0,1.0,2.0
117,PH2,32.1,100.0,15.0,1.0,1.0,2.0
118,PH2,55.5,150.0,15.0,1.0,1.0,2.0
119,PH2,35.2,150.0,15.0,1.0,1.0,2.0
120,PH2,75.6,200.0,15.0,1.0,1.0,2.0
121,PH2,49.2,200.0,15.0,1.0,1.0,2.0
122,PH2,50.6,150.0,15.0,1.0,1.0,2.0
123,PH2,28.3,150.0,15.0,1.0,1.0,2.0
124,PH2,70.4,200.0,15.0,1.0,1.0,2.0
125,PH2,48.0,200.0,15.0,1.0,1.0,2.0
126,HSe2,5.0,300.0,1.0,34.0,1.0,2.0
127,HSe,23.0,300.0,1.0,34.0,1.0,1.0
128,HSe,39.0,250.0,1.0,34.0,1.0,1.0
129,HSe,42.0,300.0,1.0,34.0,1.0,1.0
130,H3Se,116.0,200.0,1.0,34.0,3.0,1.0
131,H3Se,111.0,250.0,1.0,34.0,3.0,1.0
132,H3Se,110.0,300.0,1.0,34.0,3.0,1.0
133,PbH8,103.0,200.0,82.0,1.0,1.0,8.0
134,HCl,20.0,250.0,1.0,17.0,1.0,1.0
135,HCl,13.0,250.0,1.0,17.0,1.0,1.0
136,HBr,0.12,120.0,1.0,35.0,1.0,1.0
137,HBr,0.0097,120.0,1.0,35.0,1.0,1.0
138,AlH5,146.0,250.0,13.0,1.0,1.0,5.0
139,AlH5,132.0,250.0,13.0,1.0,1.0,5.0
140,BH,30.8,100.0,5.0,1.0,1.0,1.0
141,BH,39.2,100.0,5.0,1.0,1.0,1.0
142,BH,23.7,125.0,5.0,1.0,1.0,1.0
143,BH,32.0,125.0,5.0,1.0,1.0,1.0
144,BH,18.7,150.0,5.0,1.0,1.0,1.0
145,BH,26.9,150.0,5.0,1.0,1.0,1.0
146,BH,14.1,175.0,5.0,1.0,1.0,1.0
147,BH,21.4,175.0,5.0,1.0,1.0,1.0
148,BH,11.7,200.0,5.0,1.0,1.0,1.0
149,BH,18.8,200.0,5.0,1.0,1.0,1.0
150,PoH,0.14,300.0,84.0,1.0,1.0,1.0
151,PoH,0.65,300.0,84.0,1.0,1.0,1.0
152,PoH2,0.0001,200.0,84.0,1.0,1.0,2.0
153,PoH2,0.0001,200.0,84.0,1.0,1.0,2.0
154,PoH4,41.1,200.0,84.0,1.0,1.0,4.0
155,PoH4,47.2,200.0,84.0,1.0,1.0,4.0
156,PoH6,2.25,200.0,84.0,1.0,1.0,6.0
157,PoH6,4.68,200.0,84.0,1.0,1.0,6.0
158,SnH4,15.0,120.0,50.0,1.0,1.0,4.0
159,SnH4,22.0,120.0,50.0,1.0,1.0,4.0
160,SnH4,52.0,200.0,50.0,1.0,1.0,4.0
161,SnH4,62.0,200.0,50.0,1.0,1.0,4.0
162,SnH4,91.0,220.0,50.0,1.0,1.0,4.0
163,SnH4,80.0,220.0,50.0,1.0,1.0,4.0
164,SnH8,81.0,220.0,50.0,1.0,1.0,8.0
165,SnH8,72.0,220.0,50.0,1.0,1.0,8.0
166,SnH12,93.0,250.0,50.0,1.0,1.0,12.0
167,SnH12,83.0,250.0,50.0,1.0,1.0,12.0
168,SnH14,97.0,300.0,50.0,1.0,1.0,14.0
169,SnH14,86.0,300.0,50.0,1.0,1.0,14.0
170,H4Te,104.47,170.0,1.0,52.0,4.0,1.0
171,H4Te,95.0,170.0,1.0,52.0,4.0,1.0
172,H4Te,85.6,170.0,1.0,52.0,4.0,1.0
173,H4Te,73.21,170.0,1.0,52.0,4.0,1.0
174,H4Te,99.18,200.0,1.0,52.0,4.0,1.0
175,H4Te,89.8,200.0,1.0,52.0,4.0,1.0
176,H4Te,80.49,200.0,1.0,52.0,4.0,1.0
177,H4Te,68.28,200.0,1.0,52.0,4.0,1.0
178,H4Te,91.33,230.0,1.0,52.0,4.0,1.0
179,H4Te,82.81,230.0,1.0,52.0,4.0,1.0
