formula,P,Tc,AD
AsH7,250,91,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
Mo8H9,200,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Si5H8,200,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
ZrH7,300,91,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ZrH7,250,91,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
H6I5,300,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
H6I5,350,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Ho7H9,100,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Ho7H9,50,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
H6I5,400,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
FeH7,150,91,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
Re3H8,50,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Cu8H9,100,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Cu8H9,50,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
FeH7,200,91,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
Ti5H8,200,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Ti5H8,250,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
VH7,150,91,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
AgH7,300,91,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
TcH7,300,91,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
Mo5H8,400,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Lu8H9,500,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Be2H7,300,91,[-1. -1. -1. -1. -1.  1.  1.  1.  1.  1.]
Ge5H8,300,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Te5H8,500,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Ge5H8,350,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
SrH7,300,91,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ErH7,500,91,[-1.  1. -1. -1. -1.  1.  1.  1.  1.  1.]
Be2H7,350,91,[-1. -1. -1. -1. -1.  1.  1.  1.  1.  1.]
SrH7,250,91,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ScH7,150,91,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ScH7,100,91,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
Te8H9,250,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Te8H9,300,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
At3H8,150,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Mo5H8,450,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
AgH7,350,91,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
Na5H8,150,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Na5H8,100,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
AlH7,50,91,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
Be5H8,50,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Be5H8,100,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
V2H7,450,91,[-1. -1. -1. -1.  1.  1.  1.  1.  1.  1.]
V2H7,500,91,[-1. -1. -1. -1. -1.  1.  1.  1.  1.  1.]
Ge8H9,50,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Ge8H9,100,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Ge8H9,150,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Si5H8,150,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Rb8H9,200,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Rb8H9,150,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
AgH7,400,91,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
Li10H9,500,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
TcH7,350,91,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
Re8H9,500,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
As5H8,300,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Tl8H9,500,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
V5H8,200,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
V5H8,250,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Li2H7,350,91,[-1. -1. -1. -1. -1.  1.  1.  1.  1.  1.]
InH7,350,91,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
V5H8,300,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
In5H8,500,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Cs5H8,500,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Er7H9,50,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
Er7H9,100,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
At3H8,100,91,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
