formula,P,Tc,AD
YH10,300,239,1
YH10,250,237,1
YH10,200,235,1
YH10,150,233,1
YH10,100,231,1
YH9,300,226,1
YH9,250,224,1
YH9,200,222,1
YH9,150,220,1
YH9,100,218,1
YH8,300,210,1
YH8,250,208,1
YH8,200,206,1
YH8,150,204,1
YH8,100,201,1
BaH9,300,201,1
BaH9,250,199,1
BaH9,200,197,1
BaH9,150,195,1
BaH9,100,193,1
NdH10,300,192,1
NdH10,250,190,1
YH7,300,190,1
SmH10,300,189,1
YH7,250,188,1
NdH10,200,188,1
SmH10,250,187,1
YH7,200,186,1
NdH10,150,186,1
SmH10,200,185,1
BaH8,300,184,1
NdH10,100,184,1
YH7,150,184,1
SmH10,150,183,1
BaH8,250,182,1
YH7,100,182,1
SmH10,100,181,1
SrH8,250,181,1
BaH8,200,180,1
NdH9,300,180,1
SrH8,200,179,1
NdH9,250,178,1
BaH8,150,178,1
SmH9,300,177,1
SrH8,150,177,1
BaH8,100,176,1
NdH9,200,176,1
SrH8,100,175,1
SmH9,250,175,1
NdH9,150,174,1
ScH10,300,174,1
SmH9,200,173,1
NdH9,100,172,1
TiH10,300,172,1
SmH9,150,171,1
ScH10,250,171,1
TiH10,250,170,1
ScH10,200,169,1
SmH9,100,169,1
SrH7,300,168,1
TiH10,200,168,1
ScH10,150,167,1
TiH10,150,166,1
SrH7,250,166,1
NdH8,300,166,1
ScH9,300,165,1
ScH10,100,165,1
YH6,300,165,1
TiH10,100,164,1
NdH8,250,164,1
BaH7,300,164,1
SmH8,300,164,1
TiH9,300,163,1
SrH7,200,163,1
CaH7,300,163,1
ScH9,250,163,1
YH6,250,163,1
SmH8,250,162,1
BaH7,250,162,1
NdH8,200,162,1
YH6,200,161,1
ScH9,200,161,1
SrH7,150,161,1
CaH7,250,161,1
TiH9,250,161,1
NdH8,150,160,1
SmH8,200,160,1
BaH7,200,160,1
TiH9,200,159,1
SrH7,100,159,1
ScH9,150,159,1
CaH7,200,159,1
YH6,150,159,1
BaH7,150,158,1
SmH8,150,158,1
NdH8,100,158,1
ScH9,100,157,1
CaH7,150,157,1
TiH9,150,157,1
BaH7,100,156,1
YH6,100,156,1
SmH8,100,156,1
CaH7,100,155,1
TiH9,100,154,1
ScH8,300,154,1
ScH8,250,152,1
TiH8,300,151,1
ScH8,200,150,1
NdH7,300,149,1
SrH6,300,149,1
CaH6,300,149,1
TiH8,250,149,1
ScH8,150,148,1
PrH10,300,148,1
SmH7,300,148,1
CaH6,250,147,1
SrH6,250,147,1
TiH8,200,147,1
NdH7,250,147,1
SmH7,250,146,1
ScH8,100,146,1
PrH10,250,146,1
CaH6,200,145,1
PmH10,300,145,1
LaH10,300,145,1
SrH6,200,145,1
NdH7,200,145,1
AsH9,300,145,1
TiH8,150,144,1
SmH7,200,144,1
AsH10,300,144,1
PrH10,200,144,1
TbH10,300,144,1
DyH10,300,143,1
PmH10,250,143,1
SrH6,150,143,1
AsH8,300,143,1
AsH9,250,143,1
CaH6,150,143,1
NdH7,150,143,1
LaH10,250,143,1
AsH10,250,142,1
TbH10,250,142,1
TiH8,100,142,1
SmH7,150,142,1
PrH10,150,142,1
SrH6,100,141,1
AsH9,200,141,1
CaH6,100,141,1
LaH10,200,141,1
CeH10,300,141,1
NdH7,100,141,1
EuH10,300,141,1
DyH10,250,141,1
PmH10,200,141,1
AsH8,250,141,1
BaH6,300,140,1
