formula,P,Tc,AD
YH9,200,261,1
YH9,100,261,1
YH9,250,261,1
YH9,150,261,1
YH6,100,258,1
YH10,250,258,1
YH10,200,258,1
YH10,150,258,1
YH10,100,258,1
YH6,150,257,1
YH6,300,257,1
YH6,200,257,1
YH6,250,257,1
YH9,300,255,1
YH10,300,246,1
SmH10,100,238,1
SmH10,200,238,1
SmH10,150,238,1
SmH10,250,235,1
NdH10,250,228,1
NdH5,100,228,1
NdH5,150,228,1
NdH10,100,228,1
NdH6,250,227,1
NdH6,100,226,1
NdH6,200,226,1
NdH6,150,226,1
NdH10,200,226,1
SmH6,250,226,1
Nd2H9,150,226,1
SmH6,100,225,1
NdH5,250,225,1
SmH6,150,225,1
SmH6,200,225,1
YH5,100,225,1
YH7,100,225,1
YH7,300,225,1
YH7,250,225,1
YH7,200,225,1
YH7,150,225,1
NdH10,150,224,1
YH5,150,224,1
SmH7,250,224,1
NdH5,200,224,1
SmH7,100,223,1
SmH7,150,223,1
SmH7,200,223,1
NdH9,250,223,1
LaH10,150,223,1
SmH9,250,223,1
SmH9,100,223,1
LaH10,200,223,1
NdH9,100,223,1
LaH10,100,223,1
SmH10,300,222,1
Nd2H9,200,222,1
SmH9,200,221,1
NdH9,200,221,1
YH5,300,220,1
YH5,250,220,1
NdH5,300,220,1
DyH10,100,219,1
LaH10,250,219,1
NdH6,300,219,1
DyH10,250,219,1
DyH10,200,219,1
DyH10,150,219,1
SmH6,300,218,1
NdH9,150,218,1
SmH9,150,218,1
YH5,200,218,1
YH8,250,218,1
NdH7,150,217,1
NdH7,100,217,1
NdH7,200,217,1
NdH7,250,217,1
YH8,100,217,1
SmH7,300,216,1
YH8,200,215,1
TbH10,200,214,1
TbH10,150,214,1
TbH10,100,214,1
YH8,150,212,1
NdH8,250,212,1
YH8,300,212,1
NdH8,100,211,1
TbH10,250,211,1
NdH10,300,210,1
DyH10,300,209,1
NdH8,200,209,1
SmH8,100,208,1
NdH7,300,208,1
SmH8,250,208,1
NdH9,300,207,1
SmH9,300,207,1
PrH10,200,207,1
PrH10,150,207,1
SmH8,200,206,1
NdH8,150,206,1
PrH10,100,206,1
LaH10,300,205,1
PrH10,250,204,1
TbH10,300,203,1
SmH8,150,203,1
DyH9,150,199,1
DyH9,200,199,1
DyH9,100,199,1
NdH8,300,198,1
DyH9,250,198,1
SmH8,300,196,1
DyH9,300,193,1
TbH6,300,192,1
TbH6,250,192,1
DyH6,300,192,1
DyH6,250,192,1
DyH6,150,191,1
DyH6,200,191,1
TbH6,200,191,1
TbH6,150,191,1
TbH6,100,191,1
DyH6,100,191,1
PrH10,300,190,1
H3S,200,189,1
H3S,250,185,1
H3S,300,184,1
CaH5,250,181,1
TbH8,150,180,1
DyH8,200,180,1
TbH8,100,180,1
TbH8,200,180,1
DyH8,150,180,1
DyH8,100,180,1
DyH8,250,179,1
TbH8,250,179,1
CaH5,200,177,1
TbH7,200,176,1
CaH6,100,176,1
DyH7,100,176,1
CaH6,150,176,1
TbH7,100,176,1
TbH7,150,176,1
DyH7,250,176,1
DyH7,200,176,1
CaH6,250,176,1
DyH7,150,176,1
CaH6,200,176,1
TbH7,250,176,1
TbH8,300,175,1
DyH8,300,175,1
DyH7,300,175,1
TbH7,300,175,1
CaH5,150,174,1
CaH5,100,174,1
CaH6,300,173,1
CaH5,300,173,1
H3S,150,166,1
H3S,100,166,1
ScH9,300,165,1
CaH7,150,165,1
CaH7,250,165,1
CaH7,200,165,1
ScH9,250,165,1
CaH7,100,165,1
TbH9,100,165,1
TbH9,150,165,1
TbH9,200,165,1
TbH9,250,163,1
CaH7,300,163,1
AsH9,200,163,1
AsH9,250,163,1
PrH6,300,162,1
LaH6,300,162,1
LaH6,250,162,1
PrH6,250,162,1
LaH6,200,161,1
AsH9,100,161,1
LaH6,100,161,1
PrH6,100,161,1
PrH6,150,161,1
PrH6,200,161,1
LaH6,150,161,1
AsH9,150,161,1
PrH8,100,160,1
PrH8,150,160,1
AsH9,300,160,1
PrH8,200,160,1
PrH8,250,159,1
PmH6,250,158,1
AsH10,250,158,1
TbH9,300,158,1
EuH6,300,158,1
EuH6,250,158,1
EuH6,100,157,1
EuH6,200,157,1
EuH6,150,157,1
PmH7,250,156,1
PmH6,100,156,1
AsH10,300,155,1
AsH10,200,155,1
ScH9,150,155,1
ScH9,200,155,1
ScH9,100,155,1
PmH6,300,154,1
H5Se,250,154,1
PmH5,100,154,1
Pr2H9,100,154,1
Eu2H9,100,154,1
PrH5,100,154,1
PmH6,200,154,1
La2H9,100,154,1
LaH5,100,154,1
EuH5,100,154,1
PrH9,200,153,1
PmH5,250,153,1
PrH5,250,153,1
PmH7,100,153,1
La2H9,250,153,1
EuH5,250,153,1
PrH9,100,153,1
PrH9,150,153,1
LaH5,250,153,1
PrH8,300,153,1
Eu2H9,250,153,1
Pr2H9,250,153,1
PmH7,300,152,1
AsH10,150,152,1
PrH9,250,152,1
AsH10,100,152,1
PmH6,150,151,1
PmH7,200,151,1
Eu2H9,150,150,1
Pr2H9,150,150,1
La2H9,150,150,1
PmH5,150,150,1
LaH5,150,150,1
PrH5,150,150,1
EuH5,150,150,1
Pr2H9,200,149,1
LaH5,300,149,1
Pr2H9,300,149,1
LaH5,200,149,1
PrH5,200,149,1
Eu2H9,300,149,1
Eu2H9,200,149,1
PrH5,300,149,1
La2H9,200,149,1
La2H9,300,149,1
EuH5,200,149,1
EuH5,300,149,1
PmH5,200,149,1
PmH5,300,149,1
PrH7,300,148,1
PmH7,150,148,1
EuH10,100,148,1
EuH10,150,148,1
EuH10,200,148,1
PrH7,250,148,1
EuH10,250,146,1
PrH7,200,146,1
PrH7,150,146,1
PrH7,100,146,1
ScH7,250,145,1
H4Se,250,144,1
H9Se2,250,144,1
H5Se,300,142,1
PrH9,300,142,1
ScH7,300,141,1
ScH10,250,141,1
ScH10,300,141,1
H4Se,200,140,1
EuH10,300,140,1
LaH7,250,139,1
H5Se,200,139,1
LaH7,300,139,1
AsH8,250,139,1
PmH8,300,138,1
PmH8,250,138,1
DyH5,100,136,1
AsH8,300,136,1
ScH7,200,136,1
AsH8,150,136,1
AsH8,100,136,1
H4Se,300,136,1
TiH10,250,135,1
AsH8,200,133,1
TbH5,150,133,1
TbH5,100,133,1
LaH7,100,132,1
PmH8,100,132,1
PmH8,150,132,1
PmH8,200,132,1
TiH10,300,132,1
ScH7,150,132,1
LaH7,150,132,1
LaH7,200,132,1
ScH7,100,132,1
EuH7,250,132,1
EuH7,300,132,1
ScH10,200,131,1
TiH9,250,131,1
DyH5,150,131,1
ScH10,150,131,1
TbH5,250,131,1
TbH5,300,131,1
EuH7,200,131,1
EuH7,150,131,1
ScH10,100,131,1
TbH5,200,130,1
EuH7,100,130,1
H9Se2,300,129,1
H9Se2,200,129,1
DyH5,250,127,1
TiH9,300,127,1
DyH5,300,127,1
DyH5,200,126,1
LaH8,250,126,1
LaH8,300,126,1
H5Se,100,126,1
H5Se,150,126,1
Pm2H9,250,125,1
Pm2H9,100,125,1
TiH8,250,124,1
TiH7,250,122,1
H7Se2,200,122,1
Pm2H9,200,122,1
H7Se2,250,122,1
TiH10,200,122,1
Pm2H9,300,121,1
ScH8,250,121,1
ScH8,300,121,1
Pm2H9,150,120,1
LaH8,100,120,1
LaH8,150,120,1
LaH8,200,120,1
TiH9,200,119,1
TiH10,150,119,1
H7Se2,300,119,1
TiH10,100,119,1
TiH8,300,118,1
TiH7,300,116,1
ScH8,100,116,1
ScH8,150,116,1
ScH8,200,116,1
H4Se,150,115,1
TiH8,200,115,1
TiH7,200,114,1
H9Se2,150,114,1
SbH7,250,113,1
GeH7,250,112,1
TiH9,150,111,1
TiH9,100,111,1
TiH7,100,111,1
H3Se,200,110,1
H3Se,250,110,1
Tb2H9,100,110,1
H3Se,300,110,1
H4Se,100,110,1
Y2H9,150,109,1
SbH7,200,109,1
H9Se2,100,109,1
EuH8,300,108,1
EuH8,250,108,1
TiH8,150,108,1
Y2H9,100,108,1
TiH8,100,108,1
PmH10,250,108,1
SbH7,300,107,1
TiH7,150,106,1
PmH10,300,106,1
EuH9,250,105,1
Ba2H9,250,104,1
BiH9,300,104,1
BiH10,300,104,1
Y2H9,250,104,1
Y2H9,300,104,1
H7Se2,150,103,1
EuH8,200,103,1
EuH8,150,103,1
Y2H9,200,103,1
H3Se,100,103,1
H3Se,150,103,1
EuH8,100,102,1
GeH7,300,102,1
BiH5,300,102,1
BaH9,250,102,1
H7S2,250,102,1
Ba2H9,300,101,1
Ba2H9,200,101,1
BaH9,150,101,1
BaH9,100,101,1
BaH9,200,101,1
H10Se,250,101,1
H8Se,250,101,1
Tb2H9,250,101,1
H9Se,250,101,1
Tb2H9,200,100,1
EuH9,300,100,1
SbH4,200,100,1
BiH9,250,100,1
BiH10,250,100,1
Tb2H9,150,99,1
SbH7,150,99,1
SbH7,100,99,1
PmH9,300,99,1
Tb2H9,300,99,1
Ba2H9,150,99,1
Ba2H9,100,99,1
PmH9,250,99,1
GeH7,200,98,1
PmH10,100,98,1
PmH10,200,98,1
PmH10,150,98,1
BiH6,300,98,1
H7S2,200,98,1
H10Pb,250,97,1
SrH5,300,97,1
SrH5,250,97,1
SrH5,200,97,1
H9Pb,250,97,1
ScH6,200,97,1
BaH9,300,97,1
H7Se2,100,97,1
H7S2,300,96,1
ScH6,250,96,1
SbH4,250,96,1
H8Pb,300,96,1
H8Pb,250,96,1
H10Pb,300,95,1
H9Pb,300,95,1
InH9,300,95,1
InH10,300,95,1
EuH9,150,95,1
EuH9,200,95,1
SrH5,100,95,1
CeH6,300,94,1
InH10,250,94,1
InH9,250,94,1
EuH9,100,94,1
TeH7,250,94,1
SrH5,150,94,1
SbH4,150,94,1
Ce2H9,250,93,1
BaH5,250,93,1
ScH6,300,93,1
TiH6,250,93,1
H8Pb,200,92,1
BiH6,250,92,1
H10Se,300,91,1
H9Se,300,91,1
CeH6,200,91,1
BaH5,200,91,1
CeH6,250,91,1
Ce2H9,300,91,1
BiH10,200,90,1
Ce2H9,200,90,1
TiH6,200,90,1
BiH9,200,90,1
GeH7,100,90,1
Ce2H9,100,90,1
GeH7,150,90,1
ScH4,200,90,1
BaH5,300,90,1
H10Pb,200,90,1
PmH9,150,89,1
InH5,300,89,1
PmH9,200,89,1
PmH9,100,89,1
H6Pb,250,89,1
H6Pb,300,89,1
H7Pb,250,89,1
H9Pb,200,89,1
BiH5,200,89,1
In2H9,300,89,1
InH9,200,89,1
InH10,200,89,1
BaH5,100,88,1
BaH5,150,88,1
ScH4,150,88,1
CeH5,300,88,1
Dy2H9,100,88,1
TeH7,300,88,1
SnH10,300,88,1
ScH4,100,88,1
TiH6,300,88,1
H8Se,300,88,1
PoH8,300,88,1
PoH8,250,88,1
ScH6,100,88,1
PoH7,250,88,1
PoH7,300,88,1
LaH9,150,87,1
LaH9,200,87,1
LaH9,100,87,1
H7Pb,300,87,1
Dy2H9,150,87,1
In2H9,250,87,1
CeH6,100,87,1
CeH6,150,87,1
BiH7,300,87,1
BiH8,300,87,1
InH5,250,87,1
SrH7,200,86,1
LaH9,250,86,1
H9Se,200,86,1
H10Se,200,86,1
SrH7,250,86,1
SrH8,250,86,1
SnH10,250,86,1
SnH4,250,86,1
SrH8,200,86,1
CeH5,250,86,1
CeH5,200,86,1
SrH7,300,86,1
SbH4,100,85,1
CeH8,200,85,1
CeH8,250,85,1
Ce2H9,150,85,1
ScH4,300,85,1
H6Pb,200,85,1
H7Pb,200,85,1
H4S,250,85,1
BiH5,250,85,1
BiH6,200,85,1
H9S2,250,85,1
H9Se,100,84,1
SnH4,300,84,1
H9Se,150,84,1
H10Se,100,84,1
H8Se,150,84,1
SrH7,100,84,1
SrH6,250,84,1
SrH6,300,84,1
Bi2H9,150,84,1
Bi2H9,100,84,1
H10Se,150,84,1
SrH6,200,84,1
TeH7,200,84,1
H8Se,100,84,1
SrH8,100,84,1
SbH4,300,83,1
Dy2H9,300,83,1
Dy2H9,200,83,1
SrH8,150,83,1
BiH7,250,83,1
BiH8,250,83,1
SrH7,150,83,1
CeH8,300,83,1
SnH9,300,83,1
SnH10,200,82,1
BaH7,250,82,1
BaH8,250,82,1
SnH9,250,82,1
AsH7,250,82,1
In2H9,200,82,1
Sb2H9,200,82,1
SrH6,100,82,1
InH5,200,82,1
ScH4,250,82,1
PoH7,200,82,1
Sc2H9,100,82,1
TiH6,100,82,1
H5Pb,300,82,1
SbH5,200,81,1
BiH9,100,81,1
Te2H7,150,81,1
H8Se,200,81,1
BiH9,150,81,1
BiH10,100,81,1
BiH10,150,81,1
BiH5,100,81,1
PoH7,100,81,1
LaH9,300,81,1
SrH6,150,81,1
PoH8,200,81,1
PoH8,150,81,1
PoH8,100,81,1
PoH7,150,81,1
CeH5,100,81,1
CeH5,150,81,1
TeH4,200,81,1
BiH5,150,81,1
Mg2H9,250,81,1
SnH6,300,80,1
InH9,100,80,1
InH9,150,80,1
BaH6,250,80,1
H8Pb,150,80,1
H8Pb,100,80,1
InH10,100,80,1
Te2H7,200,80,1
SbH6,200,80,1
InH10,150,80,1
H6Pb,150,80,1
H6Pb,100,80,1
Bi2H9,300,79,1
H5Pb,150,79,1
BiH4,150,79,1
BaH8,200,79,1
Sc2H9,200,79,1
BaH8,300,79,1
BaH7,300,79,1
BiH6,150,79,1
BiH6,100,79,1
BaH7,200,79,1
H5Pb,100,79,1
SnH9,200,78,1
SnH6,250,78,1
H7S2,150,78,1
SnH8,300,78,1
Bi2H7,150,78,1
H7S2,100,78,1
CeH8,100,78,1
H7Se,250,78,1
Sn2H7,300,78,1
CeH8,150,78,1
SnH7,300,78,1
BiH8,200,77,1
BiH7,200,77,1
BaH8,100,77,1
BaH6,200,77,1
Bi2H9,200,77,1
BaH7,150,77,1
H9Pb,100,77,1
H9Pb,150,77,1
BaH7,100,77,1
BaH8,150,77,1
BaH6,300,77,1
H9S2,300,77,1
TeH4,150,77,1
