formula,P,Tc,AD
YH9,300,275,1
YH9,250,272,1
YH9,200,265,1
YH10,300,262,1
YH9,150,254,1
YH6,100,250,1
YH6,150,249,1
YH10,250,245,1
YH9,100,238,1
YH6,200,237,1
YH10,200,226,1
YH6,250,216,1
LaH10,250,214,1
LaH10,300,213,1
YH10,150,208,1
YH8,200,204,1
YH8,150,203,1
LaH10,200,202,1
YH8,250,200,1
YH8,100,196,1
YH8,300,192,1
YH10,100,190,1
YH6,300,190,1
H3S,250,185,1
YH7,150,182,1
YH7,100,182,1
H3S,200,182,1
H3S,300,178,1
LaH10,150,177,1
YH7,200,176,1
LaH9,300,173,1
H3S,150,171,1
ScH7,300,167,1
YH7,250,164,1
CaH6,150,163,1
LaH9,250,162,1
CaH6,100,160,1
CaH6,200,160,1
LaH6,100,155,1
PrH10,300,154,1
H3S,100,153,1
PrH10,250,153,1
LaH6,150,153,1
ScH7,250,153,1
CaH6,250,152,1
YH7,300,149,1
LaH6,200,146,1
LaH10,100,143,1
ScH9,300,142,1
PrH10,200,142,1
LaH9,200,138,1
CaH6,300,138,1
ScH10,300,138,1
PrH6,100,136,1
EuH10,250,135,1
ScH7,200,135,1
LaH6,250,134,1
PrH6,150,134,1
EuH10,300,134,1
PrH9,300,133,1
YH5,100,131,1
EuH10,200,130,1
AsH8,300,129,1
PrH6,200,128,1
YH5,150,127,1
CeH6,100,127,1
CeH6,150,126,1
PrH10,150,123,1
PrH9,250,123,1
ScH9,250,122,1
ScH10,250,121,1
H7S2,200,121,1
H7S2,250,121,1
CeH6,200,120,1
EuH9,300,120,1
LaH6,300,120,1
YH5,200,119,1
EuH10,150,119,1
PrH6,250,118,1
PmH10,300,118,1
ScH8,300,118,1
PH3,300,118,1
H7S2,300,117,1
H7S2,150,117,1
AsH8,250,117,1
ScH6,300,116,1
PmH10,250,116,1
EuH9,250,116,1
LaH8,300,115,1
ScH7,150,115,1
H3Se,200,115,1
H3Se,150,113,1
H3Se,250,113,1
CeH6,250,112,1
H3Se,100,110,1
PmH10,200,109,1
LaH7,250,109,1
LaH7,200,108,1
AsH9,300,108,1
H3Se,300,108,1
H7S2,100,108,1
YH5,250,107,1
SnH4,300,107,1
LaH7,300,107,1
PrH6,300,107,1
EuH9,200,105,1
ScH6,250,105,1
CaH7,150,105,1
PrH9,200,105,1
PrH7,200,105,1
LaH7,150,104,1
LaH9,150,104,1
AsH8,200,104,1
EuH10,100,104,1
PrH7,150,103,1
PH3,250,103,1
CaH7,200,103,1
AsH7,300,103,1
CaH7,100,103,1
PrH7,250,103,1
LaH8,250,102,1
PrH8,300,102,1
H5S2,300,102,1
ScH9,200,102,1
CeH6,300,102,1
H8Pb,200,101,1
ScH10,200,101,1
CeH8,300,101,1
SbH4,150,101,1
SbH4,200,101,1
H8Pb,250,100,1
H8Pb,150,100,1
ScH8,250,100,1
EuH6,150,100,1
EuH6,100,100,1
AsH9,250,99,1
CaH7,250,99,1
PrH7,300,99,1
H2S,300,99,1
PrH7,100,99,1
PrH10,100,98,1
SbH4,100,98,1
SbH4,250,98,1
LaH7,100,97,1
TeH4,100,97,1
CeH7,200,97,1
ScH7,100,97,1
CeH7,250,97,1
H5S2,250,97,1
YH4,100,96,1
H8Pb,100,96,1
H8Pb,300,96,1
PmH10,150,96,1
EuH6,200,96,1
CeH9,300,95,1
YH5,300,95,1
BiH5,300,95,1
CeH8,250,95,1
CeH7,300,95,1
AsH7,250,95,1
Y2H9,100,95,1
CeH7,150,94,1
SbH4,300,93,1
CaH7,300,93,1
PrH8,250,93,1
AsH8,150,92,1
ScH6,200,92,1
EuH6,250,91,1
TeH4,150,91,1
BiH6,300,91,1
ScH4,100,91,1
PmH6,100,90,1
CeH9,250,90,1
BiH5,250,90,1
ScH4,150,90,1
PmH9,300,90,1
AsH9,200,90,1
ScH4,200,89,1
CaH5,150,89,1
PmH6,150,89,1
CeH7,100,89,1
H2S,250,89,1
ScH4,250,89,1
ScH4,300,89,1
EuH9,150,88,1
CaH5,100,88,1
CaH5,200,88,1
BiH6,250,88,1
SnH4,250,88,1
Sn2H9,300,88,1
H5S2,200,87,1
Sb2H9,150,86,1
Sb2H9,200,86,1
PmH6,200,86,1
EuH8,300,86,1
AsH7,200,86,1
H9Pb,200,86,1
CaH5,250,85,1
CeH8,200,85,1
H9Pb,250,85,1
H9Pb,150,85,1
EuH6,300,84,1
BiH6,200,84,1
PmH9,250,84,1
P2H7,300,84,1
BiH5,200,84,1
Sb2H9,250,84,1
ScH10,150,84,1
H7Se2,200,83,1
Y2H9,150,83,1
ScH9,150,83,1
ScH8,200,83,1
H7Se2,150,83,1
H9Pb,100,83,1
Sb2H9,100,83,1
H9Pb,300,83,1
Bi2H9,300,83,1
LaH8,200,82,1
H7Pb,150,82,1
H7Pb,200,82,1
H7Pb,250,82,1
Sn2H7,300,82,1
H7Se2,250,82,1
H7Se2,100,81,1
PmH6,250,81,1
Te2H9,100,81,1
Sb2H9,300,81,1
TeH4,200,81,1
AsH9,150,81,1
AsH8,100,81,1
Bi2H9,250,81,1
PH3,200,80,1
H7Se2,300,80,1
PmH10,100,80,1
CaH5,300,80,1
LaH5,100,80,1
PrH8,200,80,1
CeH9,200,80,1
PrH9,150,80,1
EuH8,250,79,1
BiH5,150,79,1
H7Pb,100,79,1
Bi2H9,200,79,1
BiH6,150,79,1
H7Pb,300,79,1
LaH5,150,78,1
AsH7,150,78,1
