 LiH6  ,  166,      300, 0.8592 ,   1837.2  , 0.13,   81.80   
 LiH8  ,   97,      100, 0.6353 ,   1576.8  , 0.13,   31.04   
 LiH8  ,   97,      150, 0.6397 ,   1709.4  , 0.13,   34.57   
 LiH8  ,   97,      200, 0.6458 ,   1756.2  , 0.13,   36.52   
 ArH4  ,  139,     1500, 0.9131 ,   1434.92 , 0.13,   72.4089 
 ArH4  ,  139,     1600, 0.9068 ,   1425.69 , 0.13,   70.9599 
 ArH4  ,  139,     1700, 0.8127 ,   1402.75 , 0.13,   55.1061 
 ArH4  ,  139,     1800, 0.7947 ,   1400.56 , 0.13,   52.1820 
 ArH4  ,  139,     1900, 0.7929 ,   1403.13 , 0.13,   52.0050 
 ArH4  ,  139,     2000, 0.7959 ,   1395.04 , 0.13,   52.1661 
 ArH2  ,   12,     1500, 0.8817 ,   1421.73 , 0.13,   66.8281 
 ArH2  ,   12,     1600, 0.8926 ,   1320.38 , 0.13,   63.6579 
 ArH2  ,   12,     1700, 0.8824 ,   1257.99 , 0.13,   59.2291 
 ArH2  ,   12,     1800, 0.8556 ,   1372.59 , 0.13,   60.5324 
 ArH2  ,   12,     1900, 0.8367 ,   1267.83 , 0.13,   53.2339 
 ArH2  ,   12,     2000, 0.8041 ,   1328.32 , 0.13,   50.9011 
 ArH2  ,   62,     1400, 0.3192 ,   1253.14 , 0.13,    0.2369 
 ArH   ,    2,     1000, 0.2917 ,    380.35 , 0.13,    0.0190 
 ArH   ,    2,     1200, 0.4357 ,    530.91 , 0.13,    1.7753 
 ArH   ,    2,     1400, 0.5288 ,    618.92 , 0.13,    5.9378 
 HfH2  ,  139,   0.0001, 0.327  ,    183.82 , 0.10,    0.192  
 HfH2  ,  139,   0.0001, 0.327  ,    183.82 , 0.13,    0.047  
 HfH2  ,  139,       10, 0.294  ,    201.20 , 0.10,    0.081  
 HfH2  ,  139,       10, 0.294  ,    201.20 , 0.13,    0.012  
 HfH2  ,  139,       30, 0.26   ,    229.21 , 0.10,    0.021  
 HfH2  ,  139,       30, 0.26   ,    229.21 , 0.13,    0.001  
 HfH2  ,  139,       50, 0.242  ,    253.17 , 0.10,    0.008  
 HfH2  ,   67,      180, 0.643  ,    292.71 , 0.10,    8.159  
 HfH2  ,   67,      180, 0.643  ,    292.71 , 0.13,    5.988  
 HfH2  ,   67,      240, 0.59   ,    285.24 , 0.10,    6.207  
 HfH2  ,   67,      240, 0.59   ,    285.24 , 0.13,    4.322  
 HfH2  ,   11,      260, 0.871  ,    232.06 , 0.10,   12.804  
 HfH2  ,   11,      260, 0.871  ,    232.06 , 0.13,   10.62   
 HfH2  ,   11,      280, 0.787  ,    218.68 , 0.10,    7.962  
 HfH2  ,   11,      280, 0.787  ,    218.68 , 0.13,    9.911  
  PH3  ,   19,      100, 0.53   ,    990    , 0.13,    9.0    
  PH3  ,   12,      200, 1.45   ,    826    , 0.13,   83      
  PH2  ,   12,      100, 1.05   ,    655.1  , 0.10,   49.0    
  PH2  ,   12,      100, 1.05   ,    655.1  , 0.18,   32.1    
  PH2  ,   12,      150, 1.0    ,    798.1  , 0.10,   55.5    
  PH2  ,   12,      150, 1.0    ,    798.1  , 0.18,   35.2    
  PH2  ,   12,      200, 1.04   ,   1026.5  , 0.10,   75.6    
  PH2  ,   12,      200, 1.04   ,   1026.5  , 0.18,   49.2    
  PH2  ,  139,      150, 0.86   ,    946.2  , 0.10,   50.6    
  PH2  ,  139,      150, 0.86   ,    946.2  , 0.18,   28.3    
  PH2  ,  139,      200, 1.13   ,    851.6  , 0.10,   70.4    
  PH2  ,  139,      200, 1.13   ,    851.6  , 0.18,   48.0    
 HSe2  ,   12,      300, 0.45   ,    647    , 0.1 ,    5      
 HSe   ,   14,      300, 0.65   ,    832    , 0.1 ,   23      
 HSe   ,  129,      250, 0.81   ,    813    , 0.1 ,   39      
 HSe   ,  129,      300, 0.80   ,    885    , 0.1 ,   42      
 H3Se  ,  229,      200, 1.09   ,   1477    , 0.1 ,  116      
 H3Se  ,  229,      250, 1.04   ,   1498    , 0.1 ,  111      
 H3Se  ,  229,      300, 1.04   ,   1492    , 0.1 ,  110      
 PbH8  ,   12,      200, 1.296  ,   1051    , 0.1 ,  103      
 HCl   ,   12,      250, 0.56   ,   1094    , 0.1 ,   20      
 HCl   ,   12,      250, 0.56   ,   1094    , 0.13,   13      
 HBr   ,   12,      120, 0.27   ,    834    , 0.1 ,    0.12   
 HBr   ,   12,      120, 0.27   ,    834    , 0.13,    0.0097 
 AlH5  ,   11,      250, 1.625  ,    949    , 0.1 ,  146      
 AlH5  ,   11,      250, 1.625  ,    949    , 0.13,  132      
 BH    ,  191,      100, 0.74   ,    985.0  , 0.13,   30.8    
 BH    ,  191,      100, 0.74   ,    985.0  , 0.10,   39.2    
 BH    ,  191,      125, 0.65   ,   1100.5  , 0.13,   23.7    
 BH    ,  191,      125, 0.65   ,   1100.5  , 0.10,   32.0    
 BH    ,  191,      150, 0.59   ,   1233.6  , 0.13,   18.7    
 BH    ,  191,      150, 0.59   ,   1233.6  , 0.10,   26.9    
 BH    ,  191,      175, 0.55   ,   1261.8  , 0.13,   14.1    
 BH    ,  191,      175, 0.55   ,   1261.8  , 0.10,   21.4    
 BH    ,  191,      200, 0.51   ,   1394.4  , 0.13,   11.7    
 BH    ,  191,      200, 0.51   ,   1394.4  , 0.10,   18.8    
 PoH   ,  194,      300, 0.33   ,    806.1  , 0.13,    0.14   
 PoH   ,  194,      300, 0.33   ,    806.1  , 0.10,    0.65   
 PoH2  ,   62,      200, 0.19   ,    712.9  , 0.13,    0.0001 
 PoH2  ,   62,      200, 0.19   ,    712.9  , 0.10,    0.0001 
 PoH4  ,   15,      200, 1.09   ,    602.6  , 0.13,   41.1    
