,Tc,Z1,Z2,N1,N2,P
119,35.2,15.0,1.0,1.0,2.0,150.0
120,75.6,15.0,1.0,1.0,2.0,200.0
121,49.2,15.0,1.0,1.0,2.0,200.0
122,50.6,15.0,1.0,1.0,2.0,150.0
123,28.3,15.0,1.0,1.0,2.0,150.0
124,70.4,15.0,1.0,1.0,2.0,200.0
125,48.0,15.0,1.0,1.0,2.0,200.0
126,5.0,1.0,34.0,1.0,2.0,300.0
127,23.0,1.0,34.0,1.0,1.0,300.0
128,39.0,1.0,34.0,1.0,1.0,250.0
129,42.0,1.0,34.0,1.0,1.0,300.0
130,116.0,1.0,34.0,3.0,1.0,200.0
131,111.0,1.0,34.0,3.0,1.0,250.0
132,110.0,1.0,34.0,3.0,1.0,300.0
133,103.0,82.0,1.0,1.0,8.0,200.0
134,20.0,1.0,17.0,1.0,1.0,250.0
135,13.0,1.0,17.0,1.0,1.0,250.0
136,0.12,1.0,35.0,1.0,1.0,120.0
137,0.0097,1.0,35.0,1.0,1.0,120.0
138,146.0,13.0,1.0,1.0,5.0,250.0
139,132.0,13.0,1.0,1.0,5.0,250.0
140,30.8,5.0,1.0,1.0,1.0,100.0
141,39.2,5.0,1.0,1.0,1.0,100.0
142,23.7,5.0,1.0,1.0,1.0,125.0
143,32.0,5.0,1.0,1.0,1.0,125.0
144,18.7,5.0,1.0,1.0,1.0,150.0
145,26.9,5.0,1.0,1.0,1.0,150.0
146,14.1,5.0,1.0,1.0,1.0,175.0
147,21.4,5.0,1.0,1.0,1.0,175.0
148,11.7,5.0,1.0,1.0,1.0,200.0
149,18.8,5.0,1.0,1.0,1.0,200.0
150,0.14,84.0,1.0,1.0,1.0,300.0
151,0.65,84.0,1.0,1.0,1.0,300.0
152,0.0001,84.0,1.0,1.0,2.0,200.0
153,0.0001,84.0,1.0,1.0,2.0,200.0
154,41.1,84.0,1.0,1.0,4.0,200.0
155,47.2,84.0,1.0,1.0,4.0,200.0
156,2.25,84.0,1.0,1.0,6.0,200.0
157,4.68,84.0,1.0,1.0,6.0,200.0
158,15.0,50.0,1.0,1.0,4.0,120.0
159,22.0,50.0,1.0,1.0,4.0,120.0
160,52.0,50.0,1.0,1.0,4.0,200.0
161,62.0,50.0,1.0,1.0,4.0,200.0
162,91.0,50.0,1.0,1.0,4.0,220.0
163,80.0,50.0,1.0,1.0,4.0,220.0
164,81.0,50.0,1.0,1.0,8.0,220.0
165,72.0,50.0,1.0,1.0,8.0,220.0
166,93.0,50.0,1.0,1.0,12.0,250.0
167,83.0,50.0,1.0,1.0,12.0,250.0
168,97.0,50.0,1.0,1.0,14.0,300.0
169,86.0,50.0,1.0,1.0,14.0,300.0
170,104.47,1.0,52.0,4.0,1.0,170.0
171,95.0,1.0,52.0,4.0,1.0,170.0
172,85.6,1.0,52.0,4.0,1.0,170.0
173,73.21,1.0,52.0,4.0,1.0,170.0
174,99.18,1.0,52.0,4.0,1.0,200.0
175,89.8,1.0,52.0,4.0,1.0,200.0
176,80.49,1.0,52.0,4.0,1.0,200.0
177,68.28,1.0,52.0,4.0,1.0,200.0
178,91.33,1.0,52.0,4.0,1.0,230.0
179,82.81,1.0,52.0,4.0,1.0,230.0
180,74.35,1.0,52.0,4.0,1.0,230.0
181,63.25,1.0,52.0,4.0,1.0,230.0
182,75.66,1.0,52.0,4.0,1.0,270.0
183,63.74,1.0,52.0,4.0,1.0,270.0
184,52.41,1.0,52.0,4.0,1.0,270.0
185,38.52,1.0,52.0,4.0,1.0,270.0
186,67.7,1.0,52.0,4.0,1.0,300.0
187,55.6,1.0,52.0,4.0,1.0,300.0
188,44.3,1.0,52.0,4.0,1.0,300.0
189,30.82,1.0,52.0,4.0,1.0,300.0
190,57.98,1.0,52.0,5.0,2.0,200.0
191,47.1,1.0,52.0,5.0,2.0,200.0
192,38.65,1.0,52.0,5.0,2.0,200.0
193,26.12,1.0,52.0,5.0,2.0,200.0
194,46.0,1.0,52.0,5.0,2.0,300.0
195,36.7,1.0,52.0,5.0,2.0,300.0
196,28.2,1.0,52.0,5.0,2.0,300.0
197,18.39,1.0,52.0,5.0,2.0,300.0
198,28.28,1.0,52.0,1.0,1.0,150.0
199,21.83,1.0,52.0,1.0,1.0,150.0
200,16.1,1.0,52.0,1.0,1.0,150.0
201,9.72,1.0,52.0,1.0,1.0,150.0
202,18.71,1.0,52.0,1.0,1.0,200.0
203,12.85,1.0,52.0,1.0,1.0,200.0
204,8.1,1.0,52.0,1.0,1.0,200.0
205,3.63,1.0,52.0,1.0,1.0,200.0
206,44.26,1.0,52.0,1.0,1.0,300.0
207,38.52,1.0,52.0,1.0,1.0,300.0
208,33.64,1.0,52.0,1.0,1.0,300.0
209,25.9,1.0,52.0,1.0,1.0,300.0
210,5.42,43.0,1.0,1.0,2.0,100.0
211,3.03,43.0,1.0,1.0,2.0,100.0
212,6.31,43.0,1.0,1.0,2.0,150.0
213,3.58,43.0,1.0,1.0,2.0,150.0
214,10.65,43.0,1.0,1.0,2.0,200.0
215,6.73,43.0,1.0,1.0,2.0,200.0
216,8.61,43.0,1.0,1.0,2.0,300.0
217,5.05,43.0,1.0,1.0,2.0,300.0
218,9.94,43.0,1.0,1.0,3.0,300.0
219,6.74,43.0,1.0,1.0,3.0,300.0
220,2.1,76.0,1.0,1.0,1.0,100.0
221,2.4,41.0,1.0,1.0,1.0,0.0001
222,1.5,41.0,1.0,1.0,1.0,0.0001
223,2.6,41.0,1.0,1.0,2.0,0.0001
224,1.5,41.0,1.0,1.0,2.0,0.0001
225,1.5,41.0,1.0,1.0,2.0,50.0
226,0.7,41.0,1.0,1.0,2.0,50.0
227,47.0,41.0,1.0,1.0,4.0,300.0
228,38.0,41.0,1.0,1.0,4.0,300.0
229,172.0,20.0,1.0,1.0,6.0,150.0
230,163.0,20.0,1.0,1.0,6.0,150.0
231,58.66,19.0,1.0,1.0,6.0,166.0
232,69.84,19.0,1.0,1.0,6.0,166.0
233,57.95,19.0,1.0,1.0,6.0,230.0
234,69.6,19.0,1.0,1.0,6.0,230.0
235,46.05,19.0,1.0,1.0,6.0,300.0
236,57.42,19.0,1.0,1.0,6.0,300.0
237,29.4,83.0,1.0,1.0,1.0,250.0
238,23.32,83.0,1.0,1.0,1.0,250.0
239,19.04,83.0,1.0,1.0,1.0,300.0
240,13.55,83.0,1.0,1.0,1.0,300.0
241,51.54,83.0,1.0,1.0,2.0,150.0
242,46.41,83.0,1.0,1.0,2.0,150.0
243,54.38,83.0,1.0,1.0,2.0,200.0
244,47.31,83.0,1.0,1.0,2.0,200.0
245,57.7,83.0,1.0,1.0,2.0,250.0
246,49.42,83.0,1.0,1.0,2.0,250.0
247,59.91,83.0,1.0,1.0,2.0,300.0
248,50.95,83.0,1.0,1.0,2.0,300.0
249,82.82,83.0,1.0,1.0,4.0,150.0
250,74.06,83.0,1.0,1.0,4.0,150.0
251,80.67,83.0,1.0,1.0,4.0,200.0
252,70.54,83.0,1.0,1.0,4.0,200.0
253,73.11,83.0,1.0,1.0,4.0,250.0
254,62.33,83.0,1.0,1.0,4.0,250.0
255,69.99,83.0,1.0,1.0,4.0,300.0
256,58.92,83.0,1.0,1.0,4.0,300.0
257,94.27,83.0,1.0,1.0,5.0,200.0
258,83.92,83.0,1.0,1.0,5.0,200.0
259,88.44,83.0,1.0,1.0,5.0,250.0
260,80.36,83.0,1.0,1.0,5.0,250.0
261,109.31,83.0,1.0,1.0,5.0,300.0
262,96.96,83.0,1.0,1.0,5.0,300.0
263,88.73,83.0,1.0,1.0,6.0,200.0
264,79.24,83.0,1.0,1.0,6.0,200.0
265,96.43,83.0,1.0,1.0,6.0,250.0
266,85.95,83.0,1.0,1.0,6.0,250.0
267,101.74,83.0,1.0,1.0,6.0,300.0
268,90.57,83.0,1.0,1.0,6.0,300.0
