formula,P,Tc,AD
ZrH9,350,310,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
HfH10,450,310,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH10,500,310,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH10,450,310,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH10,400,310,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
HfH9,450,310,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
HfH9,500,310,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH9,500,310,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH9,450,310,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
HfH10,350,310,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
HfH10,400,310,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
HfH10,500,310,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ZrH10,450,310,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
NbH10,500,310,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
NbH10,450,310,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
NbH10,400,310,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
NbH10,350,310,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH9,400,310,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH9,350,310,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH8,500,310,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH8,450,310,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ZrH9,400,310,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ZrH10,500,310,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH10,350,310,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ZrH10,400,310,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ZrH9,450,310,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ZrH10,350,310,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ZrH8,450,310,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ZrH8,500,310,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ZrH9,500,310,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ZrH9,150,267,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH8,150,267,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH8,200,267,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH8,250,267,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH8,300,267,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ZrH9,300,267,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH8,400,267,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ZrH9,250,267,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ZrH9,200,267,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH9,50,267,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
