    YH3   ,         225,  22.9835       , 0.75         ,    23.0, 1.1274,  441.2  ,0.10,   36.3669   
    YH3   ,         225,  22.9835       , 0.75         ,    28.9, 0.5562,  500    ,0.10,    8.8849   
    YH3   ,         225,  22.9835       , 0.75         ,    51.9, 0.4630,  780    ,0.10,    6.7626   
    YH3   ,         225,  22.9835       , 0.75         ,    62.1, 0.4466,  825.3  ,0.10,    6.1151   
    YH3   ,         225,  22.9835       , 0.75         ,    67.5, 0.4260,  850.6  ,0.10,    4.8561   
    YH3   ,         225,  22.9835       , 0.75         ,    73.1, 0.4041,  871.2  ,0.10,    3.7410   
    YH3   ,         225,  22.9835       , 0.75         ,    17.6, 1.4192,  352.9  ,0.13,   34.4604   
    YH3   ,         225,  22.9835       , 0.75         ,    23.0, 1.1274,  441.2  ,0.13,   31.8705   
    YH3   ,         225,  22.9835       , 0.75         ,    28.9, 0.5562,  500    ,0.13,    5.8633   
    YH3   ,         225,  22.9835       , 0.75         ,    51.9, 0.4630,  780    ,0.13,    3.6691   
    YH3   ,         225,  22.9835       , 0.75         ,    62.1, 0.4466,  825.3  ,0.13,    3.2374   
    YH3   ,         225,  22.9835       , 0.75         ,    67.5, 0.4260,  850.6  ,0.13,    2.3381   
    YH3   ,         225,  22.9835       , 0.75         ,    73.1, 0.4041,  871.2  ,0.13,    1.6187   
    PtH   ,         194,  98.054        , 0.50         ,   100  , 0.82  ,  293.6  ,0.10,   14.5      
    PtH   ,         194,  98.054        , 0.50         ,   100  , 0.82  ,  293.6  ,0.13,   11.8      
    PtH   ,         225,  98.054        , 0.50         ,    77  , ---   ,  ---    ,0.10,   24        
    PtH   ,         225,  98.054        , 0.50         ,    85  , 0.85  ,  ---    ,0.06,   23        
    PtH   ,         225,  98.054        , 0.50         ,    85  , 0.85  ,  ---    ,0.10,   19        
    PtH   ,         194,  98.054        , 0.50         ,   105  , ---   ,  ---    ,0.06,   16        
    PtH   ,         194,  98.054        , 0.50         ,   105  , ---   ,  ---    ,0.10,   12        
    RhH   ,         225,  51.95         , 0.50         ,     4.8, ---   ,  ---    ,0.10,    2.1      
    PdH   ,         225,  53.704        , 0.50         ,     6.6, ---   ,  ---    ,0.10,   20        
    IrH   ,         225,  96.604        , 0.50         ,    80  , ---   ,  ---    ,0.10,    7        
    AuH   ,         225,  99.004        , 0.50         ,   220  , ---   ,  ---    ,0.10,   21        
    LiH6  ,         166,   1.435857     , 0.85714285714,   150  , 0.6387, 1911.9  ,0.13,   38.34      
    LiH6  ,         166,   1.435857     , 0.85714285714,   200  , 0.6488, 1952.2  ,0.13,   41.17      
    LiH6  ,         166,   1.435857     , 0.85714285714,   250  , 0.7171, 1915.8  ,0.13,   54.87      
    LiH6  ,         166,   1.435857     , 0.85714285714,   300  , 0.8592, 1837.2  ,0.13,   81.80      
    LiH8  ,          97,   1.340778     , 0.88888888888,   100  , 0.6353, 1576.8  ,0.13,   31.04      
    LiH8  ,          97,   1.340778     , 0.88888888888,   150  , 0.6397, 1709.4  ,0.13,   34.57      
    LiH8  ,          97,   1.340778     , 0.88888888888,   200  , 0.6458, 1756.2  ,0.13,   36.52      
    ArH4  ,         139,   8.7964       , 0.8          ,  1500  , 0.9131, 1434.92 ,0.13,   72.4089   
    ArH4  ,         139,   8.7964       , 0.8          ,  1600  , 0.9068, 1425.69 ,0.13,   70.9599   
    ArH4  ,         139,   8.7964       , 0.8          ,  1700  , 0.8127, 1402.75 ,0.13,   55.1061   
    ArH4  ,         139,   8.7964       , 0.8          ,  1800  , 0.7947, 1400.56 ,0.13,   52.1820   
    ArH4  ,         139,   8.7964       , 0.8          ,  1900  , 0.7929, 1403.13 ,0.13,   52.0050   
    ArH4  ,         139,   8.7964       , 0.8          ,  2000  , 0.7959, 1395.04 ,0.13,   52.1661   
    ArH2  ,          12,  13.9887       , 0.66666666667,  1500  , 0.8817, 1421.73 ,0.13,   66.8281   
    ArH2  ,          12,  13.9887       , 0.66666666667,  1600  , 0.8926, 1320.38 ,0.13,   63.6579   
    ArH2  ,          12,  13.9887       , 0.66666666667,  1700  , 0.8824, 1257.99 ,0.13,   59.2291   
    ArH2  ,          12,  13.9887       , 0.66666666667,  1800  , 0.8556, 1372.59 ,0.13,   60.5324   
    ArH2  ,          12,  13.9887       , 0.66666666667,  1900  , 0.8367, 1267.83 ,0.13,   53.2339   
    ArH2  ,          12,  13.9887       , 0.66666666667,  2000  , 0.8041, 1328.32 ,0.13,   50.9011   
    ArH2  ,          62,  13.9887       , 0.66666666667,  1400  , 0.3192, 1253.14 ,0.13,    0.2369   
    ArH   ,           2,  20.479        , 0.5          ,  1000  , 0.2917,  380.35 ,0.13,    0.0190   
    ArH   ,           2,  20.479        , 0.5          ,  1200  , 0.4357,  530.91 ,0.13,    1.7753   
    ArH   ,           2,  20.479        , 0.5          ,  1400  , 0.5288,  618.92 ,0.13,    5.9378   
    HfH2  ,         139,  60.172        , 0.66666666667, 0.0001 , 0.327 ,  183.82 ,0.10,    0.192    
    HfH2  ,         139,  60.172        , 0.66666666667, 0.0001 , 0.327 ,  183.82 ,0.13,    0.047    
    HfH2  ,         139,  60.172        , 0.66666666667,    10  , 0.294 ,  201.20 ,0.10,    0.081    
    HfH2  ,         139,  60.172        , 0.66666666667,    10  , 0.294 ,  201.20 ,0.13,    0.012    
    HfH2  ,         139,  60.172        , 0.66666666667,    30  , 0.26  ,  229.21 ,0.10,    0.021    
    HfH2  ,         139,  60.172        , 0.66666666667,    30  , 0.26  ,  229.21 ,0.13,    0.001    
    HfH2  ,         139,  60.172        , 0.66666666667,    50  , 0.242 ,  253.17 ,0.10,    0.008    
    HfH2  ,          67,  60.172        , 0.66666666667,   180  , 0.643 ,  292.71 ,0.10,    8.159    
    HfH2  ,          67,  60.172        , 0.66666666667,   180  , 0.643 ,  292.71 ,0.13,    5.988    
    HfH2  ,          67,  60.172        , 0.66666666667,   240  , 0.59  ,  285.24 ,0.10,    6.207    
    HfH2  ,          67,  60.172        , 0.66666666667,   240  , 0.59  ,  285.24 ,0.13,    4.322    
    HfH2  ,          11,  60.172        , 0.66666666667,   260  , 0.871 ,  232.06 ,0.10,   12.804    
    HfH2  ,          11,  60.172        , 0.66666666667,   260  , 0.871 ,  232.06 ,0.13,   10.62     
    HfH2  ,          11,  60.172        , 0.66666666667,   280  , 0.787 ,  218.68 ,0.10,    7.962    
    HfH2  ,          11,  60.172        , 0.66666666667,   280  , 0.787 ,  218.68 ,0.13,    9.911    
    PH3   ,          19,   8.4985       , 0.75         ,   100  , 0.53  ,  990    ,0.13,    9.0      
    PH3   ,          12,   8.4985       , 0.75         ,   200  , 1.45  ,  826    ,0.13,   83        
    PH2   ,          12,  10.9953       , 0.66666666667,   100  , 1.05  ,  655.1  ,0.10,   49.0      
    PH2   ,          12,  10.9953       , 0.66666666667,   100  , 1.05  ,  655.1  ,0.18,   32.1      
    PH2   ,          12,  10.9953       , 0.66666666667,   150  , 1.0   ,  798.1  ,0.10,   55.5      
    PH2   ,          12,  10.9953       , 0.66666666667,   150  , 1.0   ,  798.1  ,0.18,   35.2      
    PH2   ,          12,  10.9953       , 0.66666666667,   200  , 1.04  , 1026.5  ,0.10,   75.6      
    PH2   ,          12,  10.9953       , 0.66666666667,   200  , 1.04  , 1026.5  ,0.18,   49.2      
    PH2   ,         139,  10.9953       , 0.66666666667,   150  , 0.86  ,  946.2  ,0.10,   50.6      
    PH2   ,         139,  10.9953       , 0.66666666667,   150  , 0.86  ,  946.2  ,0.18,   28.3      
    PH2   ,         139,  10.9953       , 0.66666666667,   200  , 1.13  ,  851.6  ,0.10,   70.4      
    PH2   ,         139,  10.9953       , 0.66666666667,   200  , 1.13  ,  851.6  ,0.18,   48.0      
    Se2H  ,          12,  52.976        , 0.33333333333,   300  , 0.45  ,  647    ,0.1 ,    5        
    SeH   ,          14,  39.984        , 0.5          ,   300  , 0.65  ,  832    ,0.1 ,   23        
    SeH   ,         129,  39.984        , 0.5          ,   250  , 0.81  ,  813    ,0.1 ,   39        
    SeH   ,         129,  39.984        , 0.5          ,   300  , 0.80  ,  885    ,0.1 ,   42        
    SeH3  ,         229,  20.496        , 0.75         ,   200  , 1.09  , 1477    ,0.1 ,  116        
    SeH3  ,         229,  20.496        , 0.75         ,   250  , 1.04  , 1498    ,0.1 ,  111        
    SeH3  ,         229,  20.496        , 0.75         ,   300  , 1.04  , 1492    ,0.1 ,  110        
    PbH8  ,          12,  23.9182222222 , 0.88888888888,   200  , 1.296 , 1051    ,0.1 ,  103        
    ClH   ,          12,  18.229        , 0.5          ,   250  , 0.56  , 1094    ,0.1 ,   20        
    ClH   ,          12,  18.229        , 0.5          ,   250  , 0.56  , 1094    ,0.13,   13        
    BrH   ,          12,  40.454        , 0.5          ,   120  , 0.27  ,  834    ,0.1 ,    0.12     
    BrH   ,          12,  40.454        , 0.5          ,   120  , 0.27  ,  834    ,0.13,    0.0097   
    AlH5  ,          11,  5.33666666667 , 0.83333333333,   250  , 1.625 ,  949    ,0.1 ,  146        
    AlH5  ,          11,  5.33666666667 , 0.83333333333,   250  , 1.625 ,  949    ,0.13,  132        
    BH    ,         191,  5.909         , 0.5          ,   100  , 0.74  ,  985.0  ,0.13,   30.8      
    BH    ,         191,  5.909         , 0.5          ,   100  , 0.74  ,  985.0  ,0.10,   39.2      
    BH    ,         191,  5.909         , 0.5          ,   125  , 0.65  , 1100.5  ,0.13,   23.7      
    BH    ,         191,  5.909         , 0.5          ,   125  , 0.65  , 1100.5  ,0.10,   32.0      
    BH    ,         191,  5.909         , 0.5          ,   150  , 0.59  , 1233.6  ,0.13,   18.7      
    BH    ,         191,  5.909         , 0.5          ,   150  , 0.59  , 1233.6  ,0.10,   26.9      
    BH    ,         191,  5.909         , 0.5          ,   175  , 0.55  , 1261.8  ,0.13,   14.1      
    BH    ,         191,  5.909         , 0.5          ,   175  , 0.55  , 1261.8  ,0.10,   21.4      
    BH    ,         191,  5.909         , 0.5          ,   200  , 0.51  , 1394.4  ,0.13,   11.7      
    BH    ,         191,  5.909         , 0.5          ,   200  , 0.51  , 1394.4  ,0.10,   18.8      
    PoH   ,         194,  105.504       , 0.5          ,   300  , 0.33  ,  806.1  ,0.13,    0.14     
    PoH   ,         194,  105.504       , 0.5          ,   300  , 0.33  ,  806.1  ,0.10,    0.65     
    PoH2  ,          62,  70.672        , 0.66666666667,   200  , 0.19  ,  712.9  ,0.13,    0.0001   
