formula,P,Tc,AD
YH10,300,227,1
YH10,250,225,1
YH10,200,223,1
YH10,150,222,1
YH10,100,220,1
YH9,300,215,1
YH9,250,214,1
YH9,200,212,1
YH9,150,210,1
YH9,100,208,1
YH8,300,201,1
NdH10,300,200,1
YH8,250,199,1
NdH10,250,198,1
YH8,200,197,1
NdH10,200,197,1
YH8,150,195,1
NdH10,150,195,1
SmH10,300,194,1
BaH9,300,193,1
NdH10,100,193,1
YH8,100,193,1
SmH10,250,192,1
NdH9,300,191,1
BaH9,250,191,1
SmH10,200,190,1
NdH9,250,189,1
BaH9,200,189,1
SmH10,150,188,1
SrH9,300,187,1
BaH9,150,187,1
NdH9,200,187,1
SmH10,100,186,1
BaH9,100,186,1
SrH9,250,185,1
TiH10,300,185,1
NdH9,150,185,1
SmH9,300,185,1
YH7,300,183,1
NdH9,100,183,1
CaH8,300,183,1
SmH9,250,183,1
SrH9,200,183,1
TiH10,250,183,1
TiH10,200,182,1
CaH8,250,181,1
SrH9,150,181,1
YH7,250,181,1
SmH9,200,181,1
TiH10,150,180,1
BaH8,300,180,1
CaH8,200,179,1
YH7,200,179,1
SrH9,100,179,1
NdH8,300,179,1
SmH9,150,179,1
BaH8,250,178,1
TiH10,100,178,1
NdH8,250,177,1
YH7,150,177,1
SmH9,100,177,1
CaH8,150,177,1
BaH8,200,176,1
SrH8,300,176,1
TiH9,300,176,1
NdH8,200,175,1
ScH10,300,175,1
YH7,100,175,1
SrH8,250,174,1
BaH8,150,174,1
TiH9,250,174,1
ScH10,250,173,1
SmH8,300,173,1
NdH8,150,173,1
TiH9,200,172,1
BaH8,100,172,1
SrH8,200,172,1
TiH9,150,171,1
SmH8,250,171,1
ScH10,200,171,1
NdH8,100,171,1
CaH7,300,171,1
SrH8,150,170,1
SmH8,200,170,1
ScH10,150,169,1
TiH9,100,169,1
CaH7,250,169,1
SrH8,100,169,1
SmH8,150,168,1
ScH9,300,167,1
ScH10,100,167,1
CaH7,200,167,1
SmH8,100,166,1
CaH7,150,165,1
ScH9,250,165,1
TiH8,300,164,1
NdH7,300,164,1
BaH7,300,164,1
AsH10,300,164,1
ScH9,200,163,1
TiH8,250,163,1
CaH7,100,163,1
SrH7,300,162,1
BaH7,250,162,1
AsH10,250,162,1
NdH7,250,162,1
ScH9,150,161,1
TiH8,200,161,1
SrH7,250,161,1
BaH7,200,160,1
AsH9,300,160,1
NdH7,200,160,1
AsH10,200,160,1
SrH7,200,159,1
SmH7,300,159,1
ScH9,100,159,1
AsH9,250,159,1
TiH8,150,159,1
AsH10,150,159,1
YH6,300,159,1
NdH7,150,158,1
BaH7,150,158,1
SrH7,150,157,1
SmH7,250,157,1
AsH10,100,157,1
YH6,250,157,1
AsH9,200,157,1
TiH8,100,157,1
BaH7,100,156,1
NdH7,100,156,1
SmH7,200,156,1
